Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year
3-02264-7513,282 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,28,2003,45000,954450,222750,731700,5349992,2012
3-02264-7514,274 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,28,2005,32854,696833,162627,534206,3906002,2012
3-02264-7515,298 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,20,2005,32291,684892,159840,525052,3839000,2012
3-02264-7518,268 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,28,2005,32523,689813,160989,528824,3866997,2012
3-02264-7520,593 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,14,2005,17940,380507,88803,291704,2133001,2012
3-02264-7521,290 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,28,2005,38717,821188,191649,629539,4602999,2012
3-02267-7501,111 GERRY STREET,WILLIAMSBURG-EAST,R4-CONDOMINIUM,25,2001,43571,945926,331140,614786,4515000,2012
3-02267-7502,59 THROOP AVENUE,WILLIAMSBURG-EAST,R4-CONDOMINIUM,15,2002,21000,342930,73710,269220,1850996,2012
3-02267-7503,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4-CONDOMINIUM,26,2000,40232,652161,152077,500084,3430999,2012
3-02276-7501,721 FLUSHING AVENUE,WILLIAMSBURG-EAST,R4-CONDOMINIUM,14,2006,14400,233424,54432,178992,1227998,2012
3-02289-7501,44 BERRY STREET,WILLIAMSBURG-NORTH,RR-CONDOMINIUM,42,1919,33400,749496,329658,419838,3102000,2012
3-02290-7502,135 NORTH 11 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,68,2011,47069,970563,465983,504580,8415759,2012
3-02297-7501,55 BERRY STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,45,1900,51213,1067791,582804,484987,3532999,2012
3-02297-7502,125 NORTH 10 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,86,2007,85905,1139959,441552,698407,4500001,2012
3-02297-7502,125 NORTH 10 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,24,2007,4367,93410,51705,41705,304999,2012
3-02298-7501,170 WEST 11 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,28,2006,24885,567876,200075,367801,2724002,2012
3-02298-7502,165 NORTH 10 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,13,2007,11576,247611,123863,123748,906001,2012
3-02299-7501,214 NORTH 11 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,120,2009,129715,1805633,600580,1205053,7895002,2012
3-02299-7502,475 DRIGGS AVENUE,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,54,2009,48150,1032818,357755,675063,2415120,2012
3-02300-7501,5 ROEBLING STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,20,2008,22096,340057,75789,264268,2142000,2012
3-02303-7502,70 BERRY STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,38,2008,45651,734525,288058,446467,2002170,2012
3-02309-7501,47 NORTH 8 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,40,2007,40773,930440,327815,602625,4463994,2012
3-02313-7501,234 NORTH 9 STREET,WILLIAMSBURG-NORTH,R2-CONDOMINIUM,11,,11383,258849,98349,160500,920701,2012
3-02319-7501,144 NORTH 8 STREET,WILLIAMSBURG-NORTH,R9-CONDOMINIUM,41,2009,50445,1121392,383382,738010,2437500,2012
3-02321-7501,230 NORTH 8 STREET,WILLIAMSBURG-NORTH,R2-CONDOMINIUM,36,2004,52477,979746,352645,627101,4462999,2012
3-02324-7501,27 NORTH 6 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,96,2007,85701,1720019,584481,1135538,8209000,2012
3-02324-7502,34 NORTH 7 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,565,2007,540898,7788931,3878239,3910692,20689763,2012
3-02326-7501,120 NORTH 7 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,27,2007,30567,697539,245759,451780,3346003,2012
3-02332-7501,34 NORTH 6 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,347,2007,216485,4466086,1469933,2996153,19350000,2012
3-02334-7501,101 NORTH 5 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,40,2009,35169,802557,282759,519798,3849999,2012
3-02340-7501,1 NORTH PIER,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,181,2007,206621,4049772,1051701,2998071,21556010,2012
3-02340-7502,20 NORTH 5 STREET,WILLIAMSBURG-NORTH,R9-CONDOMINIUM,114,2007,112265,2253159,765647,1487512,10753000,2012
3-02340-7503,2 NORTHSIDE PIERS,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,270,2010,272767,5627183,1852088,3775095,27438998,2012
3-02342-7501,90 NORTH 5 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,34,2007,30712,677507,359023,318484,2345012,2012
3-02344-7501,161 NORTH 4 STREET,WILLIAMSBURG-NORTH,R2-CONDOMINIUM,37,2007,29317,505425,137204,368221,2569001,2012
3-02344-7502,150 NORTH 5 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,31,1910,47500,1047850,555275,492575,3627000,2012
3-02344-7503,155 NORTH 4 STREET,WILLIAMSBURG-NORTH,R9-CONDOMINIUM,20,1960,30000,619800,216600,403200,1215000,2012
3-02346-7502,349 METROPOLITAN AVENUE,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,35,2007,29315,646689,342692,303997,2237997,2012
3-02348-7501,184 KENT AVENUE,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,242,1914,270035,5955224,3279383,2675841,17606996,2012
3-02350-7501,85 NORTH 3 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,63,2006,105657,1829979,577944,1252035,8744004,2012
3-02351-7501,195 BERRY STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,76,2010,166787,4002888,1307610,2695278,20133997,2012
3-02358-7501,100 NORTH 3 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,24,2007,30010,684828,241280,443548,3285002,2012
3-02358-7502,129 METROPOLITAN AVENUE,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,12,2008,11679,249814,138279,111535,817002,2012
3-02358-7503,135 METROPOLITAN AVENUE,WILLIAMSBURG-NORTH,R2-CONDOMINIUM,10,2010,8850,185054,63101,121953,889000,2012
3-02363-7501,80 METROPOLITAN AVENUE,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,152,2008,138830,2648876,839922,1808954,12937004,2012
3-02364-7501,136 METROPOLITAN AVENUE,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,9,1952,8318,332401,183994,148407,797947,2012
3-02378-7501,66 NORTH 1 STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,21,1910,30434,621767,340252,281515,2042997,2012
3-02383-7501,98 HAVEMEYER STREET,WILLIAMSBURG-NORTH,R2-CONDOMINIUM,24,2002,28440,727211,328482,398729,3004999,2012
3-02383-7503,14 HOPE STREET,WILLIAMSBURG-NORTH,R4-CONDOMINIUM,30,2008,24884,561881,275715,286166,2115996,2012
3-02393-7501,186 GRAND STREET,WILLIAMSBURG-SOUTH,R2-CONDOMINIUM,9,2008,8185,246141,113157,132984,474336,2012
3-02396-7501,275 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,R4-CONDOMINIUM,26,2007,13950,284999,155961,129038,936009,2012
3-02403-7501,330 WYTHE AVENUE,WILLIAMSBURG-SOUTH,R4-CONDOMINIUM,74,1914,126785,1857400,428533,1428867,9531542,2012
3-02406-7501,299 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,R4-CONDOMINIUM,32,2003,36768,839046,295615,543431,3877496,2012
3-02408-7501,236 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,R4-CONDOMINIUM,16,2002,17766,362959,198624,164335,1191999,2012
3-02408-7502,241 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,R4-CONDOMINIUM,15,2004,15000,306450,167700,138750,1007002,2012
3-02408-7503,242 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,R2-CONDOMINIUM,23,1911,24306,568274,175489,392785,2921002,2012
3-02415-7501,29 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,R4-CONDOMINIUM,24,2009,26059,594666,209514,385152,3950294,2012
